time_utc,symbol,source,regime,breadth_pct,technical_score,required_score,entry_ready,technical_pass,expert_score,expert_verdict,coverage,top_position_ratio,top_account_ratio,global_ratio,taker_ratio,oi_change_pct,funding_pct,shadow_action
2026-08-27T23:24:36.518856+00:00,DOGEUSDT,TREND,RISK_OFF,51.67,7.3004,99.3500,N,N,0.2970,SUPPORT,6,3.9547,3.4944,2.6751,0.8075,0.2878,0.00659,OBSERVE
2026-08-27T23:29:49.985725+00:00,XLMUSDT,TREND,WEAK,60.00,7.3338,99.3500,N,N,0.1987,SUPPORT,6,1.4672,1.3607,1.0704,1.1576,0.2643,0.00670,OBSERVE
2026-08-27T23:29:52.020210+00:00,DOGEUSDT,TREND,WEAK,60.00,7.3263,99.3500,N,N,0.4502,CONFIRM,6,3.9464,3.4903,2.6819,1.2573,0.0400,0.00641,WOULD_SUPPORT_NEAR_READY
2026-08-27T23:29:53.609163+00:00,XRPUSDT,TREND,WEAK,60.00,7.0844,99.3500,N,N,0.2970,SUPPORT,6,2.0878,2.7566,2.4662,0.9500,0.1421,-0.00060,OBSERVE
2026-08-27T23:29:55.194532+00:00,ZECUSDT,CORE,WEAK,60.00,7.0195,99.0000,N,N,-0.1140,CAUTION,6,1.0212,0.4810,0.5184,1.1403,0.2345,0.00730,OBSERVE
2026-08-27T23:29:56.778967+00:00,DASHUSDT,CORE,WEAK,60.00,6.9204,99.0000,N,N,0.3613,CONFIRM,6,3.4723,1.6867,1.1340,1.2394,0.2456,0.01000,WOULD_SUPPORT_NEAR_READY
2026-08-27T23:34:42.377851+00:00,ENAUSDT,CORE,WEAK,65.00,7.6163,99.0000,Y,N,0.1960,SUPPORT,6,1.4302,1.5994,1.5432,1.0137,0.6274,0.00500,OBSERVE
2026-08-27T23:34:43.964079+00:00,SOLUSDT,TREND,WEAK,65.00,7.3792,99.3500,N,N,0.3134,SUPPORT,6,2.0045,1.5227,1.4450,1.1749,0.3540,-0.00095,OBSERVE
2026-08-27T23:34:46.023347+00:00,TAOUSDT,TREND,WEAK,65.00,7.3655,99.3500,N,N,0.2706,SUPPORT,6,3.7091,1.9878,1.6882,0.7948,0.2353,0.00500,OBSERVE
2026-08-27T23:34:47.621007+00:00,ZROUSDT,CORE,WEAK,65.00,7.2464,99.0000,N,N,0.4299,CONFIRM,6,3.1894,1.2173,1.0060,1.5302,0.0592,0.00500,WOULD_SUPPORT_NEAR_READY
